firstname;lastname;password;ou
Vincent;Zago;absterg0GRP4!;CN=GRP_direction, OU=Direction, DC=exia, DC=local
A;dministrateur;absterg0GRP4!;OU=Direction, DC=exia, DC=local
Benoit;Martin;absterg0GRP4!;CN=GRP_direction, OU=Direction, DC=exia, DC=local
Patrick;Millau;absterg0GRP4!;CN=GRP_direction, OU=Direction, DC=exia, DC=local
Carl;Dupont;absterg0GRP4!;CN=GRP_direction, OU=Direction, DC=exia, DC=local
A;dministrateurC;absterg0GRP4!;OU=Comptabilite, DC=exia, DC=local
Richard;Dupont;absterg0GRP4!;CN=GRP_comptaResponsables, OU=Comptabilite, DC=exia, DC=local
Gérard;Legrand;absterg0GRP4!;CN=GRP_compta,OU=Comptabilite, DC=exia, DC=local
Louis;Normand;absterg0GRP4!;CN=GRP_compta,OU=Comptabilite, DC=exia, DC=local
Paula;Dubois;absterg0GRP4!;CN=GRP_compta,OU=Comptabilite, DC=exia, DC=local
A;dministrateurAD;absterg0GRP4!;OU=GestionAD, DC=exia, DC=local
Vanessa;Fleuri;absterg0GRP4!;CN=GRP_gestionADResponsables, OU=GestionAD, DC=exia, DC=local
Laurianne;Maillochaud;absterg0GRP4!;CN=GRP_gestionAD, OU=GestionAD, DC=exia, DC=local
Antoine;Tarte;absterg0GRP4!;CN=GRP_gestionAD, OU=MigrationAD, DC=exia, DC=local
Quentin;Gandre;absterg0GRP4!;CN=GRP_gestionAD, OU=MigrationAD, DC=exia, DC=local
Joris;Barnouin;absterg0GRP4!;CN=GRP_gestionAD, OU=MigrationAD, DC=exia, DC=local
A;dministrateurRH;absterg0GRP4!;OU=RessourcesHumaines, DC=exia, DC=local
Laurent;Donadet;absterg0GRP4!;CN=GRP_RHResponsables,OU=RessourcesHumaines, DC=exia, DC=local
Mia;Doe;absterg0GRP4!;CN=GRP_RH,OU=RessourcesHumaines, DC=exia, DC=local
Corentin;Jean;absterg0GRP4!;CN=GRP_RH,OU=RessourcesHumaines, DC=exia, DC=local
A;dministrateurE;absterg0GRP4!;OU=Developpeur, DC=exia, DC=local
Isabelle;Sabatier;absterg0GRP4!;CN=GRP_devResponsables, OU=Developpeur, DC=exia, DC=local
Roger;Gomez;absterg0GRP4!;CN=GRP_dev, OU=Developpeur, DC=exia, DC=local
Theo;Chalamet;absterg0GRP4!;CN=GRP_dev, OU=Developpeur, DC=exia, DC=local
A;dministrateurS;absterg0GRP4!;OU=Stagiaire, DC=exia, DC=local
Gerard;Pagano;absterg0GRP4!;CN=GRP_stageResponsables, OU=Stagiaire, DC=exia, DC=local
John;Doe;absterg0GRP4!;CN=GRP_stageResponsables, OU=Stagiaire, DC=exia, DC=local
A;dministrateurI;absterg0GRP4!;OU=Intervenant, DC=exia, DC=local
Claudie;Pierlot;absterg0GRP4!;CN=GRP_intervenants,OU=Intervenant, DC=exia, DC=local
